                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.49497,                 5.0552,                0.35102,                0.42764,                 1.0543,                0.97094,                0.98667,                  0.987,                0.77262,                0.47325,                0.47333,                0.26306,                  0.068,                0.82017,                 4.8027,                 0.1642,                0.46288,                 1.2587,              0.0092377,              0.0092377,              0.0092377
                     79,                0.49224,                 5.0694,                0.36272,                0.41824,                 1.0607,                0.96692,                0.97441,                0.98792,                0.78066,                0.54451,                0.55333,                0.36347,                0.08528,                0.82386,                 4.6702,                0.15138,                0.45968,                 1.2609,              0.0092278,              0.0092278,              0.0092278
                     80,                0.50609,                 4.9934,                0.35491,                0.43014,                 1.0666,                0.95955,                   0.98,                0.98352,                0.76966,                0.51884,                0.53333,                0.30878,                0.07118,                0.82507,                 4.6376,                0.14477,                0.47152,                 1.2526,              0.0092179,              0.0092179,              0.0092179
                     81,                0.49346,                 5.0168,                0.34755,                0.42497,                 1.0592,                0.94608,                0.97333,                0.98025,                0.76552,                0.50988,                0.51333,                0.30785,                0.08095,                0.83002,                 4.5932,                0.15117,                0.46205,                  1.246,               0.009208,               0.009208,               0.009208
                     82,                0.48358,                 4.9493,                0.34938,                0.42076,                 1.0487,                0.95747,                0.97333,                0.97826,                0.77848,                0.55417,                0.56667,                0.35755,                0.08579,                0.78362,                 4.5864,                0.14217,                0.44568,                 1.2209,              0.0091981,              0.0091981,              0.0091981
                     83,                0.48278,                 5.0478,                0.34615,                0.41741,                 1.0481,                0.98303,                   0.96,                0.98249,                0.79785,                0.58159,                   0.56,                0.40194,                0.09619,                0.79357,                 4.6091,                0.13535,                0.42873,                 1.2318,              0.0091882,              0.0091882,              0.0091882
                     84,                0.48267,                 4.9622,                0.34335,                0.41494,                 1.0484,                0.96114,                 0.9893,                0.99125,                0.79711,                0.51455,                0.51333,                0.31935,                0.07815,                0.79195,                 4.6689,                0.15374,                0.43129,                 1.2299,              0.0091783,              0.0091783,              0.0091783
                     85,                 0.4827,                 4.9564,                  0.348,                0.41888,                 1.0448,                0.95993,                0.99333,                0.99171,                0.80082,                0.54756,                0.56667,                   0.37,                0.09833,                 0.7885,                 4.5736,                0.12717,                0.43266,                 1.2469,              0.0091684,              0.0091684,              0.0091684
                     86,                0.48659,                 4.9515,                0.34546,                0.43135,                 1.0478,                0.96722,                0.97333,                0.98434,                0.79292,                 0.5794,                0.58667,                0.39368,                0.10162,                0.77357,                 4.5322,                0.13654,                0.43867,                 1.2305,              0.0091585,              0.0091585,              0.0091585
                     87,                0.48957,                 4.9128,                0.35035,                0.42298,                 1.0546,                0.97608,                0.96667,                0.98161,                0.76993,                0.56803,                0.57333,                0.38398,                0.10591,                0.83917,                 4.5312,                0.16176,                0.45045,                 1.2821,              0.0091486,              0.0091486,              0.0091486
